Rayon;Libellé produit;Marque;Code Produit;Température;Conditionnement;Unité de commande;Prix;Prix à l'unité de mesure;Prix à la portion;DLC garantie au client
Accompagnements Assaisonnement;Tagliatelle aux oeufs. Emiliane chef;BARILLA;000190;Ambiant;Sac de 1 kg. Colis de 6 sacs. ;colis; 52,87 EUR;  8,81 EUR / kg;  8,81 EUR / sac;30 jour(s)
Fruits et Légumes;Poire guyot. calibre 60/65. catégorie 1;STKFL;000502;Frais;Par barquette de 1 kg. ;barquette;  2,37 EUR;  2,37 EUR / kg;;
Fruits et Légumes;Tomate ronde 67/82. catégorie 1;STKFL;000512;Frais;Par colis de 6 kg. ;colis; 12,13 EUR;  2,02 EUR / kg;;
Fruits et Légumes;Pommes Golden 135/170. catégorie 1. France;STKFL;000658;Frais;Portion de 160.494 g. Colis de 81 portions. ;colis; 21,79 EUR;  1,68 EUR / kg;  0,27 EUR / Portion;
Fruits et Légumes;Oignon rouge. calibre 60/80. catégorie 1 - origine France;STKFL;000775;Frais;Par filet de 5 kg. ;filet;  5,96 EUR;  1,19 EUR / kg;;
Fruits et Légumes;Chou rouge. catégorie 1;STKFL;000964;Frais;Par pièce de 1.5 kg. Colis de 6 pièces. ;pièce;  1,86 EUR;  1,24 EUR / kg; 11,14 EUR / colis;
Épicerie;Country store muesli;KELLOGG'S;001800;Ambiant;Par sachet de 2 kg. Colis de 4 sachets. ;sachet; 18,26 EUR;  9,13 EUR / kg; 73,05 EUR / colis;30 jour(s)
Charcuterie Traiteur;Jambon de paris spécial. sandwich vpf;MADRANGE;006148;Frais;Portion de 50 g. Barquette de 10 portions. ;barquette;  5,95 EUR; 11,90 EUR / kg;  0,60 EUR / Portion;7 jour(s)
Fruits et Légumes;Mélange jeune pousse. catégorie 1. France;STKFL;008691;Frais;Par barquette de 1 kg. ;barquette;  5,49 EUR;  5,49 EUR / kg;;3 jour(s)
Fruits et Légumes;Mure. catégorie 1. barquette 125g;STKFL;008720;Frais;Par barquette de 125 g. ;barquette;  3,34 EUR; 26,68 EUR / kg;;4 jour(s)
Fruits et Légumes;Salade sucrine 6 têtes. catégorie 1;STKFL;008814;Frais;Par barquette de 360 g. ;barquette;  2,39 EUR;  6,63 EUR / kg;;
Fruits et Légumes;Poire conference 60/65. catégorie 1;STKFL;008905;Frais;Par colis de 7 kg. ;colis; 14,35 EUR;  2,05 EUR / kg;;
Fruits et Légumes;Pois gourmand. catégorie 1;STKFL;008910;Frais;Par barquette de 250 g. ;barquette;  2,28 EUR;  9,13 EUR / kg;;3 jour(s)
Fruits et Légumes;Poivron vert catégorie 1;STKFL;008941;Frais;Par filet de 1 kg. ;filet;  3,27 EUR;  3,27 EUR / kg;;4 jour(s)
Fruits et Légumes;Aubergine 3/4. catégorie 1;STKFL;008942;Frais;Par filet de 1 kg. ;filet;  3,59 EUR;  3,59 EUR / kg;;
Fruits et Légumes;Mâche. catégorie 1. France;STKFL;008965;Frais;Par colis de 1 kg. ;colis;  5,62 EUR;  5,62 EUR / kg;;3 jour(s)
